Entry,Underlying,POS,Definition,SC,Etymology,Related,Examples,Usage,Notes,Sources
*ngukush,,nad,maternal aunt,Family,nguk+-ush,,,,,
*nzukwiis,,nad,mother-in-law,Family,,,,,,
*niimat[us],,nad,brother (man speaking),Family,,,,,,
*ndulunoohum,,nad,brother (woman speaking),Family,,,,,,
*niilum,,nad,sister-in-law (man speaking); brother-in-law (woman speaking),Family,,,,,,
*nooxwush,,nad,my uncle (father's brother),Family,,,,,,
*nxiisumus,,nad,my younger sibling,Family,,,,,,
*nxanz,,nad,older brother,Family,,,,,,
*miilihtaakw,,nad,paternal aunt,Family,,,,,,
*njoos,,nad,friend,,,,,,njo (vocative),
*iil,,nd,head,Body,,,,,"niil (my head), kiil (your head), wiil (his or her head)",http://www.native-languages.org/munsee_possession.htm
-ush,,nfin,diminutive suffix,,,,,,,
-[h]iikan,,nfin,tool,,,,,,,DSM 319
-iikaan,,nfin,"house, dwelling",,,,,,concrete productive nfin; always produce inanimate nouns which do not take the suffix -um when nouns are made possessive,DSM 319
-[w]aakan,,nfin,nominalizer,,,,,,,DSM 319
-[w]an,,nfin,nominalizer,,,,,,,DSM 319
-oon,,nfin,nominalizer,,,,,,,DSM 319
-ay,,nfin,<no clear meaning>,,,,,,abstract unproductive noun final,DSM 324
-chuy,,nfin,excrement,,,,,,,DSM 330
-njuw,,nfin,"dish, kitchen item",,,,,,,DSM 331
-aapeew,,nfin,man,,,,,,bound variant of a noun /naapeew/ which no longer exists on its own in modern Delaware,DSM 333
-akwiiwan,,nfin,cloth,,,,,,,
-ameekw,,nfin,fish,,,,,,,
-hleew,,nfin,bird,,,,,,,
-[ii]m,,nfin,"fruit, berry, seed",,,,,,,
-miinzhuy,,nfin,tree species,,,-oonzhuy,,,,
-oonzhuy,,nfin,tree species,,,-miinzhuy,,,,
-aapoow,,nfin,"water, liquid",,,,,,,
-miinzhuy;-oonzhuy,,nfin,tree species,,,,,,,DSM 336
-us,,nfin,archaic diminutive suffix,,,,,,,
wiilaawan,,ni,"antler, horn",Animals,,,,,,
waxkan,,ni,bone,Body,from Proto-Algonquian -θkani,,,,,
kwundaakan,,ni,throat,Body,,,,,,
mohkw,,ni,blood,Body,from Proto-Algonquian meskwi,maxkeew,,,,
wiixeekan,,ni,body hair,Body,,,,,,
maamaaliingwaawan;maamaawan,,ni,eyebrow,Body,,,,,usually plural,
wulakshuy,,ni,"guts, intestines, innards",Body,,,,,,
siluk,,ni,ribbon,Body,,,,,,
ashiikan,,ni,sock,Clothing,,,,,NOT noun final root -iikan/-hiikan (tool),
aakongweepuy,,ni,hat,Clothing,,,,,,
pulook,,ni,pants,Clothing,,,,,,
heembut,,ni,shirt,Clothing,,,,,,
wuyoos,,ni,meat,Food,from Proto-Algonquian wi·yawehsi,,,,,http://www.native-languages.org/munsee.htm
wahwal,,ni,egg,Food,from Proto-Algonquian wa·war(w)i,,,,,http://www.native-languages.org/munsee.htm
shiiwang,,ni,salt,Food,,,,,,http://www.native-languages.org/munsee.htm
shûwanakwii-apwaan,,ni,"baker's bread, white bread",Food,apwaan = bread,,,,,
paasapwaan,,ni,bread made with yeast,Food,apwaan = bread,,,,,
shalapwaanush,,ni,doughnut,Food,shal-+apwaan+-ush,,,,,
miichuwaakan,,ni,food,Food,miichuw+-waakan,,,,,
pootul,,ni,butter,Food,from English butter,,,,,
muluk,,ni,milk,Food,from English milk,,,,,
pumuy,,ni,grease,Food,from Proto-Algonquian pemyi,,,,,
shookulush,,ni,candy,Food,shookul+-ush (small-sugar),,,,,
shookulapwaan,,ni,cake,Food,shookul+apwaan (sugar-bread),,,,,
kooyeewakw,,ni,beef,Food,,,,,,
lohkhamun,,ni,flour,Food,,,,,,
kshiiteew,,ni,soup,Food,,,,,,
wiikwahm,,ni,house,Household,from Proto-Algonquian wi·kiwa·ʔmi,,,,irregular declensions,
tiihiinjuw,,ni,teacup,Household,root -iinjuw,,,,,
wshapakwiiwan,,ni,cloth;cotton;rag,Manmade,root -akwiiwan = cloth,,,,,O'Meara 1990 pg 334
shehshiipihlaak apiikwan,,ni,accordion,Manmade,apiikw,,,,,
maxkasuniikaan,,ni,brick house,Manmade,maxkasun+-iikaan,,,,,
wuskiinjkwahiikanal,,ni,eyeglasses,Manmade,"*nuskiinjukw=my eye, noun final root -iikan/-hiikan (tool)",,,usually plural,,
neeneemahpapoon,,ni,rocking chair,Manmade,neeneem + ahpapoon,,,,,
ehahpapiing,,ni,cushion;saddle,Manmade,reduplicative + ahpapoon + -ung ?,,,,,
apiikwan,,ni,musical instrument,Manmade,apiikw,,,,,
chiikhiikan,,ni,broom,Manmade,nfin -hiikan,,,,,
lehleewhiikan,,ni,fan,Manmade,lehleew+-hiikan,,,,,
maxkeewehlatiikan,,ni,flag,Manmade,maxkii-+awehleet+-iikan?,,,,,
maxkasun,,ni,brick,Manmade,maxk(ii)+asun,,,,,
taweenaxkuniikaan,,ni,gate,Manmade,taw-+meenaxk+-iikaan,,,,,
mbotus,,ni,boot,Manmade,from English boot,,,,,
kep,,ni,cap,Manmade,from English cap,,,,,
meenaxk,,ni,fence,Manmade,naxk = hand?,,,,,
pehpoxkwahtiikan,,ni,cupboard,Manmade,nfin -hiikan?,,,,,
kpaapehlatiikan,,ni,curtain,Manmade,nfin -hiikan?,,,,,
tumahiikan,,ni,ax,Manmade,nfin -hiikan?,,,,,
takwalooniikan,,ni,scissors,Manmade,nfin -hiikan?,,,,,
sihkpeeniikan,,ni,sieve,Manmade,nfin -hiikan?,,,,,
yangwteehoon,,ni,apron,Manmade,,,,,,
apiinay,,ni,bed,Manmade,,,,,,
weest;weyst,,ni,blouse,Manmade,,,,,,
mbaks;mbaksh,,ni,box,Manmade,,,,,,
tayaaxkwaan,,ni,bridge,Manmade,,,,,,
tangaloonz,,ni,bullet,Manmade,,,,,,
ahtamoombiil,,ni,car,Manmade,,,,,,
ahpapoon,,ni,chair,Manmade,,,,,,
wulaakanus,,ni,dish,Manmade,,,,,,
lehlxawalooyeek,,ni,fork,Manmade,,,,,,
niipaahum,,ni,moon,Nature,,,,,,http://www.native-languages.org/munsee.htm
kiishooxkw;kiishuwoxkw,,ni,sun,Nature,,,,,,http://www.native-languages.org/munsee.htm
siipuw,,ni,river,Geography,from Proto-Algonquian si·pi·wi/si·po·wi,,,,,
mihtkwus,,ni,stick,Nature,mihtukw+-us,,,,,
asiiskuw,,ni,mud,Nature,from Proto-Algonquian ašiškiwi,,,,,
axkuy,,ni,"land, earth",Nature,from Proto-Algonquian askyi,,,,,
leekuw,,ni,sand,Nature,from Proto-Algonquian le·kawi,,,,,
munahan,,ni,island,Geography,from Proto-Algonquian menahanwi,,,,,
shuwanpuy,,ni,ocean;sea;salt water,Nature,"shuwanakw + mbuy;
shûwanakwii-apwaan = white bread; shuwanakw = white person + -ii = ""prenoun-izer""; shuwan = ? + akw = ?",,,,,
shiipooshush,,ni,creek,Geography,siipuw+-ush+-ush (little-little-river),,,,,
